name,address,category
Small,"Улица Ахмет Байтурсынулы, 51, Астана",Продукты
Small,"Проспект Женис, 67, Астана",Продукты
Сауран 14,"Улица Сауран, 14, Астана",Продукты
Слобода,"Проспект Абая, 9а, Астана",Продукты
Тулпар,"Улица Сыганак, 18, Астана",Продукты
Fix price,"Улица Кенесары, 44, Астана",Продукты
Fix price,"Улица Алексея Петрова, 15, Астана",Продукты
Fix price,"Улица Габит Мусрепов, 8, Астана",Продукты
Бек Маркет,"Улица Кайым Мухамедханов, 4а, Астана",Продукты
Fix price,"Шоссе Коргалжын, 6, Астана",Продукты
Светофор,"Улица Шабал Бейсековой, 3Б, Астана",Продукты
Sybaga,"Проспект Мангилик Ел, 27, Астана",Продукты
Fix price,"Улица Кордай, 81/1, Астана",Продукты
Ayan,"Проспект Сарыарка, 31а, Астана",Продукты
Инабат,"Улица Алихан Бокейхан, 25, Астана",Продукты
Kym-san,"Проспект Богенбай батыр, 56Б, Астана",Продукты
Small,"Улица Е-36, 9/1, Астана",Продукты
Small,"Улица Кенжебек Кумисбеков, 9а, Астана",Продукты
ФерМаг,"Улица Алихан Бокейхан, 20, Астана",Продукты
Small,"Улица Бердибек Сокпакбаев, 18а, Астана",Продукты
Fix price,"Улица Жанайдар Жирентаев, 1, Астана",Продукты
Fix price,"Проспект Абая, 7, Астана",Продукты
Лимон,"Улица Динмухамед Конаев, 35, Астана",Продукты
ФерМаг,"Улица Толе би, 46п, Астана",Продукты
Инабат,"Кабанбай батыр проспект, 58Б корпус 4, Астана",Продукты
Вкус Март,"Улица Сакена Сейфуллина, 63/5, Астана",Продукты
Светофор,"Шоссе Алаш, 24а, Астана",Продукты
Small,"Рахмет, проспект Нургиса Тлендиева, 15, Астана",Продукты
Shabyt,"Проспект Туран, 44/2, Астана",Продукты
Fix price,"Проспект Шакарим Кудайбердыулы, 36, Астана",Продукты
Darmart,"Проспект Улы Дала, 31, Астана",Продукты
Small,"Улица Кенесары, 70, Астана",Продукты
Fix price,"ТЦ Жаннур, проспект Абая, 48, Астана",Продукты
Tokyo market,"Улица Кайым Мухамедханов, 4/1, Астана",Продукты
Fix price,"Улица Куйши Дина, 30/2, Астана",Продукты
Magnum Express,"Улица Акбидай, 6, Астана",Продукты
Ayan,"Улица Кажымукан, 14, Астана",Продукты
Жанайым,"Переулок Куншуак, 5, Астана",Продукты
Гастроном,"Улица Абикен Бектуров, 1/1, Астана",Продукты
ФерМаг,"Аль-Фараби проспект, 9/1 Блок 5C-2, Астана",Продукты
One Mart,"Проспект Мангилик Ел, 41, Астана",Продукты
Апрель,"Улица Желтоксан, 19, Астана",Продукты
Fix price,"Улица Бейбитшилик, 16, Астана",Продукты
Кәусәр,"Улица Сыганак, 54/1, Астана",Продукты
Адина,"ЖК Азия плюс, улица Жумекен Нажимеденов, 16а, Астана",Продукты
Айбике,"Улица Аманжол Болекпаев, 22, Астана",Продукты
Малина,"ЖК Манхэттен 2, улица Анет баба, 11, Астана",Продукты
Гастроном №1,"Улица Сыганак, 11, Астана",Продукты
Артём,"Переулок Коктамыр, 28, Астана",Продукты
Регина,"Проспект Тауелсиздик, 31/3, Астана",Продукты
Small,"Улица Сагадат Нурмагамбетов, 25/1, Астана",Продукты
Magnum Express,"Проспект Нургиса Тлендиева, 50, Астана",Продукты
Астықжан,"Астыкжан, улица Шабал Бейсековой, 3, Астана",Продукты
24,"Улица Балкантау, 187, Астана",Продукты
Fix price,"Проспект Абая, 36а, Астана",Продукты
Дара,"Улица Куйши Дина, 4, Астана",Продукты
Адал,"Проспект Республики, 37, Астана",Продукты
Asyl Mura Market,"Улица Кайым Мухамедханов, 4в, Астана",Продукты
Бота Маркет,"Улица Кенен Азербаев, 4, Астана",Продукты
Mango market,"Улица Алихан Бокейхан, 16/1, Астана",Продукты
Тарту,"Кабанбай батыр проспект, 5/1, Астана",Продукты
Fix price,"Улица Жанайдар Жирентаев, 17/1, Астана",Продукты
Interfood,"Улица Динмухамед Конаев, 14/2, Астана",Продукты
Fix price,"Улица Алиби Жангельдин, 18, Астана",Продукты
Fix price,"Улица Алексея Петрова, 1, Астана",Продукты
Казына,"Улица Сагадат Нурмагамбетов, 29, Астана",Продукты
Dossauda,"Улица Чингиз Айтматов, 29а, Астана",Продукты
Арзан,"Улица Ахмет Байтурсынулы, 17/2, Астана",Продукты
Заман,"Улица Бухар жырау, 27, Астана",Продукты
Береке,"Улица Тараз, 2, Астана",Продукты
Киви,"Улица Ахмет Байтурсынулы, 39/1, Астана",Продукты
Fix price,"Улица Кажымукан, 10, Астана",Продукты
Fix price,"Улица Кенжебек Кумисбеков, 9а, Астана",Продукты
Small,"Улица Ахмет Байтурсынулы, 8, Астана",Продукты
Spar,"Улица Абубакир Тыныбаев, 12, Астана",Продукты
Interfood,"Проспект Мангилик Ел, 36, Астана",Продукты
7 бочек,"Улица Сыганак, 25, Астана",Продукты
Мәңгілік ел,"Проспект Мангилик Ел, 21, Астана",Продукты
ManyMarket,"Улица Елубай Тайбеков, 44, Астана",Продукты
ФерМаг,"Улица Алихан Бокейхан, 8, Астана",Продукты
Fix price,"Улица Азильхан Нуршаихов, 6/1, Астана",Продукты
Изет,"Улица Бухар жырау, 31, Астана",Продукты
Ayan,"Euromall, улица Шаймерден Косшыгулулы, 24, Астана",Продукты
ASI Mart,"Улица Алихан Бокейхан, 30, Астана",Продукты
Базар,"Улица Азильхан Нуршаихов, 10/1, Астана",Продукты
Fix price,"Улица Бактыораза Бейсекбаева, 2, Астана",Продукты
Fix price,"Проспект Абая, 80, Астана",Продукты
Fix price,"БЦ Кайнар, Амангельды Иманова улица, 50, Астана",Продукты
Aqmol,"Проспект Мангилик Ел, 33/2, Астана",Продукты
Баймаркет,"Улица Туркестан, 32, Астана",Продукты
Fix price,"ТД Северный, улица Шаймерден Косшыгулулы, 9, Астана",Продукты
Small,"Шоссе Алаш, 13, Астана",Продукты
