name,address,category
"Yes, apartments by botanical garden",Астана,Пожить
Reikartz Park Astana,"Керей, Жанибек хандар улица, 18, Астана",Пожить
Уют,"Улица Балкантау, 50, Астана",Пожить
Бастау,"Улица Дмитрий Карбышев, 50, Астана",Пожить
AyKun Hotel,"Керей, Жанибек хандар улица, 12Б, Астана",Пожить
Катон-Қарағай,"Улица Куйши Дина, 18, Астана",Пожить
Antalya hotel,"Улица Балкантау, 94, Астана",Пожить
Caps Lock hotel,"Улица Динмухамед Конаев, 29в, Астана",Пожить
Teplo,"Каркаралы, 11, Астана",Пожить
Ақ Отау,"Переулок Алмалы, 9а, Астана",Пожить
Алтын Дала,"Талгата Бигельдинова улица, 8/1, Астана",Пожить
Gokai Hotel,"Проспект Бауыржан Момышулы, 24, Астана",Пожить
Didi,"Улица Баганалы, 43/1, Астана",Пожить
Балкантау,"Улица Балкантау, 86, Астана",Пожить
Аксу,"Газеты Егемен Казахстан улица, 9/3, Астана",Пожить
Inju Hills,"Улица Мухтара Ауэзова, 50/1, Астана",Пожить
Орион,"Улица Александра Пушкина, 3/2, Астана",Пожить
Kemer Lux,"Улица Бактыораза Бейсекбаева, 25/1а, Астана",Пожить
Rush Hotel,"Проспект Женис, 53/1, Астана",Пожить
Компания по аренде коттеджей,"Улица Жаркент, 27, Астана",Пожить
Чистые Пруды,"Улица Айтеке би, 33, Косшы, Косшы городская администрация, Акмолинская область",Пожить
Heaven,"Улица Аксу-Аюлы, 6/1, Астана",Пожить
Sky Lux Hotel,"Проспект Женис, 43, Астана",Пожить
Elite Apart-Hotel,"Проспект Ракымжан Кошкарбаев, 10/1, Астана",Пожить
Jelsomino Boutique Hotel,"Амангельды Иманова улица, 26, Астана",Пожить
Union plaza,"Улица Алматы, 1/1, Астана",Пожить
Cuprum hotel,"Переулок Ташенова, 2, Астана",Пожить
Томирис,"Шоссе Коргалжын, 9, Астана",Пожить
Hannah Inn budget hotel,"Улица Жумабека Ташенова, 21/1, Астана",Пожить
Нұрдаулет,"Улица Айнакол, 1, Астана",Пожить
Изумруд,"Улица Нуртас Ондасынов, 46, Астана",Пожить
Той-Думан. AfterParty,"Улица Ногайлы, 11, Астана",Пожить
Aruna Hotel,"Улица Сарайшык, 40, Астана",Пожить
Hotel-Absolute,"Улица Бейбитшилик, 47/2, Астана",Пожить
Baiterek,"Улица Сарайшык, 38, Астана",Пожить
РЕЛАКС,"Проспект Богенбай батыр, 1ж, Астана",Пожить
Алау,"Ледовый дворец Алау, Кабанбай батыр проспект, 47, Астана",Пожить
Інжу,"Улица Александр Бараев, 9, Астана",Пожить
Belon Land,"Проспект Богенбай батыр, 45, Астана",Пожить
Maxx inn,"Кабанбай батыр проспект, 46/1, Астана",Пожить
Алтын Адам,"Улица Сакена Сейфуллина, 26, Астана",Пожить
Deluxe,"Улица Байдибека Карашаулы, 30, Астана",Пожить
Alash,"Проспект Бауыржан Момышулы, 12Б, Астана",Пожить
Адам & Ева,"Улица Кайрат Рыскулбеков, 17, Астана",Пожить
Manhattan Astana Hotel,"Проспект Тауелсиздик, 5, Астана",Пожить
Aner,"Проспект Магжана Жумабаева, 25/4, Астана",Пожить
Қыпшақ,"Улица Акан Серы, 42/2, Астана",Пожить
Эверест,"Улица Шары Жиенкуловой, 7/1, Астана",Пожить
Sarmat,"Улица Ильи Чехоева, 16, Астана",Пожить
Eco Apart Hotel Astana,"Кабанбай батыр проспект, 58Б корпус 3, Астана",Пожить
71° East,"Проспект Мангилик Ел, 51, Астана",Пожить
Арыстан,"Улица Аркайым, 2, Астана",Пожить
TatarInn,"Улица Аскар Токпанов, 12, Астана",Пожить
Кorkem,"Улица Маскеу, 5/2, Астана",Пожить
Браун,"Улица Малика Габдуллина, 20/1, Астана",Пожить
The Square,"БЦ THE SQUARE, проспект Туран, 46/1, Астана",Пожить
Шама,"Улица Габидена Мустафина, 12, Астана",Пожить
Belon Inn,"Улица Алиби Жангельдин, 14, Астана",Пожить
Жұлдыз,"Альмукан Сембинов улица, 16, Астана",Пожить
Bezpontov,"Микрорайон 1, 1, с. Жибек Жолы, Аршалынский район, Акмолинская область",Пожить
Қозған,"Проспект Акжол, 53/5, Астана",Пожить
Олжа,"Проспект Нургиса Тлендиева, 229, Астана",Пожить
Oasis,"Улица Туркестан, 16, Астана",Пожить
CAMELOT,"Улица Карашаш ана, 13, Астана",Пожить
Улпан,"Улица Халел Досмухамедулы, 11, Астана",Пожить
The Arc Residence,"Проспект Мангилик Ел, 37, Астана",Пожить
Столичные раки,"Улица Акжайык, 3, с. Жибек Жолы, Аршалынский район, Акмолинская область",Пожить
Astina,"Улица Бурабай, 44, Астана",Пожить
Arena hotel,"ЖК Sezim Qala. Baqyt, улица Роза Багланова, 2, Астана",Пожить
Престиж,"Улица Желтоксан, 1, Астана",Пожить
Интерия,"Проспект Абылай хана, 37/1, Астана",Пожить
Ақнұр,"Талапкерский переулок, 8/1, Астана",Пожить
Ботагоз,"Улица Сыганак, 54, Астана",Пожить
Алтын Орда,"Улица Азербайжана Мамбетова, 16, Астана",Пожить
Агат,"Улица Толстого, 17/1, Астана",Пожить
Барыс,"Улица Ушкултай Субханбердина, 30, Астана",Пожить
Корсар,"Улица Темирказык, 7, Астана",Пожить
Kapsula,"Кабанбай батыр проспект, 7/3, Астана",Пожить
Жигер,"Проспект Республики, 59, Астана",Пожить
Jasmine,"Улица Сарайшык, 36, Астана",Пожить
Лакки,"Проспект Абылай хана, 32/3, Астана",Пожить
Компания по аренде коттеджа,"Улица Жаркент, 13, Астана",Пожить
Ырысты,"Жусупбек Аймауытова улица, 7, Астана",Пожить
Орынбор,"Проспект Мангилик Ел, 50, Астана",Пожить
Homeland_Apartments,Астана,Пожить
Таймас,"Улица Бактыораза Бейсекбаева, 28/7, Астана",Пожить
Pulsar,"Проспект Тауелсиздик, 49/3, Астана",Пожить
Сайран,"Шоссе Алаш, 24, Астана",Пожить
Garant,"Улица Айнакол, 18, Астана",Пожить
Baiterek Premium,"Улица Сарайшык, 40, Астана",Пожить
Cosmos,"Улица Маскеу, 33, Астана",Пожить
Toi House,"Улица Силети, 11, Астана",Пожить
Belon Life Hotel,"Проспект Абылай хана, 24/1, Астана",Пожить
KorkemTau Hotel,"Улица Жаханша Сейдалин, 1/1, Астана",Пожить
Delight Сая,"Улица Алиби Жангельдин, 4/1, Астана",Пожить
Beibarys,"Улица Кенес, 7, с. Жибек Жолы, Аршалынский район, Акмолинская область",Пожить
Самурык,"Улица Шабал Бейсековой, 11/2, Астана",Пожить
Qul-Khadisha,"Гете улица, 12/1, Астана",Пожить
Скиф,"Проспект Женис, 51/1, Астана",Пожить
Нурсат,"Проспект Женис, 63, Астана",Пожить
Forum,"Кабанбай батыр проспект, 9, Астана",Пожить
Grace Point Hotel,"Улица Сыганак, 2, Астана",Пожить
Тянь-шань,"Улица Мухтара Ауэзова, 30, Астана",Пожить
Belon Lux Hotel,"Улица Достык, 13, Астана",Пожить
Highwill AST,"Проспект Ракымжан Кошкарбаев, 10/1, Астана",Пожить
Астана,"Ж/д вокзал Астана, Гете улица, 1, Астана",Пожить
Tan Hotel,"Улица Ахмет Байтурсынулы, 20, Астана",Пожить
Hostel 8,"Улица Кенесары, 8, Астана",Пожить
Бахыт,"Проспект Нургиса Тлендиева, 351/2, Астана",Пожить
Наша Столица,"Улица Халел Досмухамедулы, 32, Астана",Пожить
Ардан,"Улица Жайык, 35, Астана",Пожить
Меркурий,"Улица Константин Циолковский, 4в, Астана",Пожить
Жеті қазына,"Проспект Богенбай батыр, 18, Астана",Пожить
Жибек-Жолы,"Улица Жанибека тархана, 2, Астана",Пожить
Алатау,"Переулок Жайдарман, 3, Астана",Пожить
Жигер,"Улица Шакена Айманова, 9, Астана",Пожить
Эльбрус,"Улица Лайлы-Мажнун, 5, Астана",Пожить
Bed and Breakfast,"Улица Сарайшык, 38, Астана",Пожить
Zor,"Улица Чингиз Айтматов, 31а, Астана",Пожить
7house_hotel,"Улица Саргуль, 7, Астана",Пожить
Nomad,"Улица Куйши Дина, 8, Астана",Пожить
Троя,"Проспект Акжол, 45/1, Астана",Пожить
iSauna,"Проспект Бауыржан Момышулы, 22/11, Астана",Пожить
